id_venta,Vehiculo,Nombre,Apellidos,DNI,Licencia,Fecha_Nacimiento,Genero,id_Sucursal,Empleado,Dias,FechaPago,Monto_total
98,Frontier,Markus,Bownass,724-64-4961,70-4092037,16/07/1971,M,3,Markus Bownass,12,20/08/2022,$4083.80
99,Eclipse,Jana,Simo,278-39-0813,04-0242456,16/08/2004,F,3,Jana Simo,6,22/02/2023,$16707.61
100,Ram 1500,Tony,Doughty,204-13-2464,54-1075706,08/03/1981,M,2,Tony Doughty,7,17/01/2022,$5205.11
101,Bravada,Andree,Ierland,775-72-6179,65-1369835,07/01/1995,F,2,Andree Ierland,12,18/05/2022,$10644.27
102,Equator,Bette,Coke,337-11-6258,28-6898295,25/07/1971,F,3,Bette Coke,6,10/09/2023,$8208.02
103,Explorer Sport Trac,Kellie,Kerbey,476-36-7717,37-8631294,08/02/1976,F,1,Kellie Kerbey,12,27/02/2022,$2600.14
104,Bonneville,Vickie,Maytom,382-71-3306,40-1309058,09/10/1996,F,3,Vickie Maytom,3,11/12/2022,$19375.37
105,G-Series G10,Mufi,Hanwell,272-51-9876,97-8393582,22/02/1952,F,6,Mufi Hanwell,10,27/07/2023,$6527.41
106,Electra,Anya,Fairney,332-81-7437,29-8992652,14/06/1963,F,6,Anya Fairney,7,04/03/2022,$9239.39
107,Mariner,Shirline,Wogden,868-86-6008,78-4370973,14/08/1992,F,2,Shirline Wogden,8,04/04/2023,$1741.49
108,Sebring,Lothaire,Brien,492-37-3357,35-0042173,08/03/1958,M,6,Lothaire Brien,7,20/11/2022,$19372.97
109,Prius v,Olivier,Spykings,576-51-2575,11-1944344,23/04/1992,M,1,Olivier Spykings,5,26/05/2022,$7438.85
110,XK,Wilmette,Densham,631-47-0238,39-0208955,24/02/1988,F,5,Wilmette Densham,9,05/04/2022,$12991.08
111,Lancer,Rubin,Pignon,870-27-5214,16-8161793,24/12/1971,M,4,Rubin Pignon,5,04/04/2022,$13764.31
112,Dakota Club,Gretta,Lacy,488-62-4040,90-8575974,30/09/1976,F,6,Gretta Lacy,13,18/08/2023,$19334.94
113,Truck,Rem,Cadwallader,756-64-5596,30-1837143,22/10/2004,M,4,Rem Cadwallader,9,27/08/2022,$6503.98
114,Yukon,Tobe,Penkethman,892-16-1293,45-4932639,07/06/1970,F,1,Tobe Penkethman,9,20/05/2022,$8718.16
115,Mark VIII,Harri,Deek,445-84-0972,01-1398700,23/08/1956,F,1,Harri Deek,12,02/05/2023,$11876.90
116,Dakota,Jonah,Dagon,237-10-9722,91-7982693,30/11/1978,M,1,Jonah Dagon,15,28/02/2023,$13287.14
117,Tundra,Orelia,Cussins,278-38-9406,49-7481957,04/06/1992,F,6,Orelia Cussins,12,20/09/2022,$17938.02
118,Range Rover,Gale,Buttner,814-72-8718,91-7165861,22/05/2002,M,6,Gale Buttner,8,11/12/2022,$1568.97
119,924 S,Cross,Storek,444-61-6709,09-2503064,04/11/1955,M,4,Cross Storek,11,04/02/2023,$11715.54
120,E-Series,Briggs,Rudeforth,733-01-2156,66-5557625,02/06/1996,M,2,Briggs Rudeforth,8,05/12/2022,$8767.42
121,Accent,Kim,Wilby,277-63-9819,46-0527401,29/01/1994,F,2,Kim Wilby,7,06/01/2022,$14831.98
122,190E,Harper,Hove,397-24-5832,58-8006712,17/02/1983,M,6,Harper Hove,8,19/03/2023,$15591.04
123,Viper,Loise,Humbey,520-29-1664,15-0592497,31/05/1980,F,4,Loise Humbey,5,19/10/2022,$5226.58
124,ES,Hartley,Swalwel,897-78-2850,13-0493739,05/03/1978,M,2,Hartley Swalwel,12,14/01/2022,$17570.95
125,XJ Series,Marline,Smeed,205-88-2247,04-8912285,12/12/1982,F,6,Marline Smeed,8,04/02/2023,$5159.87
126,Sunfire,Hamil,Pocklington,669-29-2099,22-1746081,06/08/1978,M,3,Hamil Pocklington,8,27/08/2023,$1661.99
127,F-Series,Northrop,Chominski,345-78-1970,39-8637636,21/10/1968,M,3,Northrop Chominski,7,11/07/2022,$10508.73
128,Thunderbird,Layne,Djakovic,592-54-9968,70-3384647,23/09/1987,F,5,Layne Djakovic,7,06/03/2022,$982.96
129,Trooper,Emlyn,Chrestien,799-77-3322,32-9769944,13/09/1980,M,5,Emlyn Chrestien,2,28/02/2023,$14119.85
130,240SX,Jody,Cribbott,873-35-2197,64-6559991,14/05/1987,F,3,Jody Cribbott,7,17/03/2022,$8743.52
131,Routan,Gasparo,Hoyer,256-66-3911,03-6554315,20/10/1993,M,6,Gasparo Hoyer,8,13/06/2022,$5182.75
132,4Runner,Howey,Chetham,888-08-6458,46-2823333,08/10/1996,M,1,Howey Chetham,4,03/02/2023,$12707.06
133,F250,Ophelia,Urlin,705-42-2106,43-5447325,06/06/1967,F,1,Ophelia Urlin,12,01/04/2023,$10729.79
134,Quest,Karlis,Auletta,410-63-7413,68-9103861,08/05/1967,M,6,Karlis Auletta,1,18/11/2022,$9867.82
135,RAV4,Garrett,Alyutin,885-84-9474,72-7636546,26/09/1966,M,4,Garrett Alyutin,13,13/03/2023,$10871.18
136,Colorado,Carleton,Odger,543-91-8749,64-3862272,10/12/1996,M,5,Carleton Odger,13,29/07/2022,$1995.10
137,M3,Ailene,Callar,526-87-8812,42-9614704,14/07/2001,F,1,Ailene Callar,7,24/04/2022,$7623.55
138,9000,Izak,Jonk,304-11-3470,25-0181715,24/08/1971,M,4,Izak Jonk,9,13/07/2023,$8154.95
139,Routan,Zane,Buist,288-36-5038,61-8811567,06/06/1961,M,4,Zane Buist,13,10/06/2022,$9205.77
140,Miata MX-5,Cly,Claybourn,324-96-0192,09-0717900,19/11/1960,M,3,Cly Claybourn,10,16/05/2022,$3172.50
141,RX Hybrid,Nanette,Dumbelton,443-39-7672,35-0345864,15/12/1991,F,3,Nanette Dumbelton,2,16/02/2023,$2036.19
142,Grand Marquis,Andrus,MacAllister,195-19-2888,16-2273682,09/01/1973,M,5,Andrus MacAllister,13,29/04/2023,$18659.18
143,X5,Belicia,Yukhnin,676-58-1168,67-4168281,14/08/1995,F,6,Belicia Yukhnin,1,19/02/2022,$2625.91
144,Dakota,Dulcie,Crampton,869-69-6305,60-9665562,29/08/1981,F,3,Dulcie Crampton,7,12/01/2022,$3447.21
145,Accent,Jasen,Lope,269-34-5888,36-7346439,17/08/1963,M,6,Jasen Lope,2,06/03/2022,$10205.57
146,SLK-Class,Fletcher,Lamb,807-41-0594,55-9550437,30/10/1971,M,2,Fletcher Lamb,10,24/10/2022,$817.04
147,626,Corbet,Anstee,433-93-5854,61-9276793,02/05/1963,M,1,Corbet Anstee,11,24/03/2023,$15823.19
148,Liberty,Augustina,Barme,142-19-1253,98-5311659,25/08/1988,F,6,Augustina Barme,8,13/03/2023,$5852.89
149,Parisienne,Doralin,Giacoboni,700-71-2026,34-6557546,15/04/1977,F,6,Doralin Giacoboni,14,28/01/2022,$4489.55
150,LeSabre,Thomasina,Gorghetto,183-30-1234,29-4773756,15/03/1983,F,1,Thomasina Gorghetto,12,06/03/2023,$17888.34
151,Discovery,Darice,Salatino,766-29-7242,78-4229673,12/11/1958,F,2,Darice Salatino,6,05/06/2022,$10847.66
152,929,Boycey,Cholonin,815-95-7351,22-3053990,23/04/1998,M,5,Boycey Cholonin,14,16/12/2022,$2511.46
153,Prelude,Albie,Hankins,325-53-9041,78-8038294,14/08/1959,M,3,Albie Hankins,13,09/05/2022,$15508.62
154,A4,Luisa,Bauld,784-04-3916,58-7820874,03/01/1985,F,2,Luisa Bauld,1,22/07/2022,$2538.31
155,Taurus,Joanne,Batha,238-33-7000,77-4722710,12/10/1957,F,3,Joanne Batha,3,30/10/2022,$4025.33
156,Cavalier,Liuka,McCoughan,653-18-6832,05-6324929,19/03/2001,F,5,Liuka McCoughan,5,12/04/2023,$8408.14
157,X6,Orelia,Pessler,379-68-0562,92-4159896,02/12/1962,F,3,Orelia Pessler,10,16/05/2023,$2612.70
158,GTI,Francene,Origan,141-16-6428,09-4735615,23/10/1951,F,5,Francene Origan,13,18/10/2022,$16116.20
159,Protege,Gerek,Dobson,792-33-1046,51-6893516,18/03/1950,M,2,Gerek Dobson,11,24/02/2023,$19042.64
160,Liberty,Doll,Hatzar,864-17-4420,64-4833699,26/10/1994,F,6,Doll Hatzar,13,21/01/2022,$18595.45
161,Quest,Rubin,Agnolo,801-56-8932,72-0242932,27/02/1975,M,5,Rubin Agnolo,6,02/02/2022,$17752.57
162,Explorer,Ashby,Rivitt,832-07-2258,53-2528062,23/06/1984,M,6,Ashby Rivitt,5,17/05/2023,$2719.88
163,Civic,Warden,Sholem,223-83-9744,13-7151561,28/11/1965,M,4,Warden Sholem,1,05/08/2023,$17781.00
164,Bonneville,Rodolfo,Berling,566-38-5510,36-4635925,02/03/1999,M,1,Rodolfo Berling,3,04/10/2023,$19693.14
165,Impreza,Ingrim,Spooner,229-55-6111,28-2229874,03/06/1952,M,3,Ingrim Spooner,12,26/05/2023,$7740.62
166,Suburban 2500,Torey,Hambric,520-75-1422,73-3761517,11/06/1954,F,3,Torey Hambric,5,19/08/2022,$8615.48
167,G-Class,Valida,Bransgrove,484-08-8426,01-2634036,17/03/1964,F,4,Valida Bransgrove,3,18/08/2023,$11409.43
168,Sonata,Jefferey,Husher,584-51-5961,89-0339535,26/10/1964,M,4,Jefferey Husher,15,14/02/2023,$16067.94
169,Savana 2500,Edwin,Shurrock,299-23-4601,80-1004144,02/09/1997,M,1,Edwin Shurrock,9,17/04/2022,$15001.57
170,CTS-V,Padraig,Boeter,544-95-3993,16-6395013,06/03/2003,M,2,Padraig Boeter,8,06/12/2022,$9865.05
171,Starion,Jami,Kubiak,864-78-2526,06-0937223,07/09/1975,F,1,Jami Kubiak,10,16/06/2023,$10806.18
172,Quattroporte,Wilhelm,Tilsley,351-59-7111,57-6873333,03/02/2000,M,5,Wilhelm Tilsley,11,21/06/2022,$17636.57
173,TL,Reider,Challen,169-67-1839,79-0552451,23/12/1984,M,1,Reider Challen,5,22/03/2023,$11107.18
174,RSX,Cullen,Heistermann,607-95-7715,66-2059565,24/08/1958,M,3,Cullen Heistermann,2,15/02/2023,$2475.94
175,Mazda5,Meris,Chable,834-21-0082,89-9216477,25/01/1979,F,6,Meris Chable,8,24/07/2022,$5349.31
176,Regal,Jordan,Lere,146-82-5080,01-1215374,31/05/1998,F,6,Jordan Lere,7,23/12/2022,$19747.50
177,F-Series Super Duty,Dody,Spadeck,859-92-3610,61-2878411,13/11/1986,F,2,Dody Spadeck,2,09/02/2023,$9705.41
178,xA,Carmon,Conibere,506-36-4980,03-3329731,21/09/1966,F,3,Carmon Conibere,5,30/06/2022,$7204.32
179,911,Salem,Keppy,795-32-0702,52-0193743,20/11/1995,M,4,Salem Keppy,6,24/10/2022,$12164.72
180,Accent,Rem,Sealand,742-87-0610,72-5285541,11/01/1967,M,5,Rem Sealand,12,02/08/2023,$5186.35
181,850,Enrika,Buffey,642-02-4735,31-3499354,28/07/1977,F,4,Enrika Buffey,2,24/10/2022,$3061.46
182,Town & Country,Roselin,Shawyer,348-10-2104,89-3833409,25/01/2002,F,4,Roselin Shawyer,10,15/08/2022,$928.71
183,GTO,Sibbie,Legging,742-84-4245,03-0304260,21/01/1952,F,6,Sibbie Legging,15,05/06/2022,$3678.47
184,Galant,Lidia,Ewbanck,497-23-9971,51-8688898,16/11/1993,F,5,Lidia Ewbanck,2,29/08/2023,$4956.90
185,Eclipse,Charmane,Tuffrey,831-90-6032,11-1647223,11/02/1952,F,4,Charmane Tuffrey,7,01/09/2023,$5965.95
186,Tiburon,Leeann,Doodson,768-57-4147,07-9230782,10/03/1953,F,5,Leeann Doodson,8,19/03/2022,$13705.37
187,G-Class,Llywellyn,Harbinson,616-07-2039,37-7565107,03/04/1962,M,5,Llywellyn Harbinson,4,19/08/2022,$5558.16
188,Town Car,Nicolais,Batt,472-93-2666,95-6994682,22/02/1960,M,6,Nicolais Batt,13,12/03/2023,$11689.65
189,626,Colleen,Gimert,692-86-5206,94-2825794,30/09/1978,F,6,Colleen Gimert,2,18/06/2022,$7266.98
190,Safari,Flinn,Bundy,886-64-4437,08-4075869,21/09/1981,M,1,Flinn Bundy,4,10/04/2023,$1130.55
191,Alpina B7,Forbes,Vaneschi,704-59-2884,94-6863145,11/10/1970,M,2,Forbes Vaneschi,6,12/01/2022,$9728.83
192,Transit Connect,Abramo,Stonebanks,422-38-5476,57-1930947,20/12/1996,M,3,Abramo Stonebanks,13,08/02/2022,$10699.18
193,Allroad,Thurston,Sutliff,170-47-2943,96-5037946,08/12/1982,M,5,Thurston Sutliff,10,26/06/2022,$6029.34
194,Compass,Stefan,Cordingly,323-07-0294,84-5310356,09/04/1965,M,5,Stefan Cordingly,10,29/01/2022,$13805.07
195,Grand Cherokee,Chrysler,Gentery,879-63-1336,50-2793431,26/09/1952,F,1,Chrysler Gentery,12,21/04/2022,$19289.13
196,Mazda3,Cris,Gundry,233-28-6642,16-6683663,22/06/1952,M,5,Cris Gundry,10,12/02/2023,$16929.32
197,Firefly,Shandie,Tingle,688-76-4065,95-2792538,10/10/1990,F,5,Shandie Tingle,13,11/03/2023,$15758.62
198,Sorento,Corine,Langhor,721-72-5324,42-0554083,02/10/1956,F,5,Corine Langhor,13,20/03/2022,$7261.76
199,Alero,Marcus,Winks,310-29-0084,46-3323873,19/01/1998,M,1,Marcus Winks,13,12/05/2023,$16568.74
200,SLX,Magdaia,MacIlriach,451-46-4169,47-1659159,24/12/1957,F,5,Magdaia MacIlriach,13,18/02/2022,$2912.88
201,del Sol,Rriocard,Caselli,868-86-1351,72-9819068,02/04/1988,M,3,Rriocard Caselli,4,21/07/2023,$8247.33
202,Silverado 2500,Gustie,Radolf,785-24-1637,81-6962911,16/09/1957,F,1,Gustie Radolf,14,27/05/2023,$3176.99
203,XJ,Lars,Bastian,545-93-8324,72-2556391,17/01/1952,M,6,Lars Bastian,12,07/05/2023,$10082.85
204,XF,Elset,Aylward,656-11-7100,68-6533095,04/08/1996,F,3,Elset Aylward,9,25/06/2022,$13959.14
205,CR-V,Boigie,Cuel,284-73-7773,96-9997507,22/06/1978,M,1,Boigie Cuel,2,03/02/2023,$10630.21
206,Fleetwood,Orlan,De Mars,761-04-2501,46-0280263,02/07/1972,M,6,Orlan De Mars,5,07/01/2022,$14225.88
207,600SEL,Idaline,Plain,782-53-4889,09-3208961,01/05/1987,F,2,Idaline Plain,8,05/12/2022,$12621.52
208,Montego,Boote,Dmitrienko,627-50-7328,15-3199812,11/11/1973,M,6,Boote Dmitrienko,7,07/06/2023,$11721.45
209,Passat,Parry,Tudhope,773-64-2759,52-8926435,03/10/1960,M,2,Parry Tudhope,10,29/05/2023,$4365.91
210,Astro,Barbe,Kibbey,788-27-8913,15-9631166,22/03/1973,F,4,Barbe Kibbey,14,24/11/2022,$6628.52
211,H1,Clywd,Assender,406-87-5820,51-8380227,30/01/1990,M,5,Clywd Assender,11,02/05/2022,$5045.74
